FID,LANDMARKNA,STNO,STNAME,SUFFIX,OWNERSHIP,CITY,UNITID,SERVSTAT,LAT,LONG,nBaseball,nBasket,nBocce,nCricket,nIceRink,nPlaySite,nSoccer,nSoftball,nSprayPad,nTennis
1,NOT YET NAMED (P-507)* (BETWEEN LIVING ARTS DR AND DUKE OF YORK BLVD| SOUTH OF RATHBURN RD W),300,RATHBURN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-507,WIP,43.591465,-79.648651,0,0,0,0,0,0,0,0,0,0
2,CREDIT MEADOWS,6545,CREDITVIEW,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-122,WIP,43.615083,-79.714997,0,0,0,0,0,0,0,0,0,0
3,FOLKWAY PARK,1902,FOLKWAY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-174,OPEN,43.555632,-79.682742,0,0,0,0,0,0,0,0,0,0
4,ELLIS LEUSCHNER CHALLENGE PARK,4321,WELLSBOROUGH,PL,HYDRO ONE,MISSISSAUGA,P-487,OPEN,43.568078,-79.679322,0,0,0,0,0,0,0,0,0,0
5,BONNIE BRAE,2144,ERIN CENTRE,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-155,OPEN,43.575779,-79.711602,0,0,0,0,1,0,0,0,0,0
6,RON SEARLE PARK,1494,PARKRIDGE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-214,OPEN,43.598064,-79.55987,0,0,0,0,1,1,0,0,0,0
7,WOOD CREEK,4333,GARNETWOOD CHASE,,CITY OF MISSISSAUGA,MISSISSAUGA,P-210,OPEN,43.644397,-79.605376,0,0,0,0,0,0,0,0,0,0
8,TRAPPER'S GREEN,2390,FOLKWAY,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-175,OPEN,43.554302,-79.686484,0,0,0,0,1,1,0,0,0,0
9,LAKEVIEW GOLF COURSE,1190,DIXIE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-173,OPEN,43.588415,-79.560582,0,0,0,0,0,0,0,0,0,0
10,ST. LAWRENCE PARK,75,ST. LAWRENCE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-435,OPEN,43.553437,-79.580461,0,0,0,0,0,1,0,0,0,0
11,NOT YET NAMED (P-434) *(BETWEEN DERRY RD W AND OLD DERRY| SOUTH OF GAZETTE GATE),1455,OLD DERRY,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-434,OPEN,43.618584,-79.738159,0,0,0,0,0,0,0,0,0,0
12,SONOMA PARK,5565,TERRY FOX,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-394,OPEN,43.599138,-79.688015,0,0,0,0,0,1,1,1,0,0
13,OSPREY WOODS,6076,OSPREY,BLVD,CITY OF MISSISSAUGA,MISSISSAUGA,P-392,OPEN,43.56369,-79.761194,0,0,0,0,0,0,0,0,0,0
14,NOT YET NAMED (P-358) *(SOUTH OF LAKESHORE RD E AND DIXIE RD),1440,LAKESHORE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-358,WIP,43.584638,-79.548051,0,0,0,0,0,0,0,0,0,0
15,BARONDALE GREEN,150,BARONDALE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-356,OPEN,43.618122,-79.66184,0,0,0,0,0,1,1,0,0,0
16,CLOVER MEADOWS,1090,WHITE CLOVER,WAY,CITY OF MISSISSAUGA,MISSISSAUGA,P-321,OPEN,43.580528,-79.674046,0,0,0,0,1,1,2,1,0,0
17,INDIAN GATE,1415,INDIAN,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-320,OPEN,43.536118,-79.630291,0,0,0,0,0,0,0,0,0,0
18,NORTHWOOD PARK,3830,BRANDON GATE,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-065,OPEN,43.733307,-79.63962,0,0,0,0,1,1,3,0,0,0
19,CHERRY HILL,828,FLAGSHIP,DR,CITY OF MISSISSAUGA,MISSISSAUGA,P-064,OPEN,43.601846,-79.603055,0,0,0,0,0,1,0,0,0,0
20,KNIGHTS OF COLUMBUS PLACE,2450,MAVIS,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-140,OPEN,43.562752,-79.627228,0,0,0,0,0,0,0,0,0,0
21,TWIN SPRUCE PARK,2013,LAKESHORE,RD,CITY OF MISSISSAUGA,MISSISSAUGA,P-139,OPEN,43.511983,-79.629859,0,0,0,0,0,0,0,0,0,0
22,RED OAKS PARK,260,KING,ST,CITY OF MISSISSAUGA,MISSISSAUGA,P-103,OPEN,43.583516,-79.607063,0,0,0,0,0,0,0,0,0,0
23,LAKE AQUITAINE PARK,2750,AQUITAINE,AVE,CITY OF MISSISSAUGA,MISSISSAUGA,P-102,OPEN,43.587494,-79.753678,0,2,0,0,0,0,0,0,1,0
24,CEDARBRAE PARK,565,LOLITA,GDNS,CITY OF MISSISSAUGA,MISSISSAUGA,P-076,OPEN,43.59349,-79.606534,0,0,0,0,0,1,0,0,0,0
